Class,Mean_Hue,Mean_Saturation,Mean_Value
MATANG,25.15062474210852,53.314057710586816,46.66200051946712
MATANG,26.624117872984762,63.620329170842055,54.269573272495506
MATANG,26.5288090110967,64.67979710387868,53.5566548435704
MATANG,26.290160841389373,61.11384158831678,53.2003508245159
MATANG,29.148491380898346,61.568958109213355,55.45474879527838
MATANG,23.88687244871644,57.167092264360875,51.00104952621651
MATANG,24.039706998437914,76.82384998821068,59.107979853149224
MATANG,17.44194276318419,99.34297875741892,61.03800852051318
MATANG,16.83621883180792,83.82819572325693,52.601398571921024
MATANG,16.18969960257589,87.412448510971,52.350985941527945
MATANG,24.83161744869207,76.41338149592335,59.81137326767051
MATANG,19.126402443746127,96.36055996582802,62.61161675551048
MATANG,20.978378198627126,90.35141605758278,60.95847889105933
MATANG,19.478234722527528,90.23828179642693,60.44200208953658
MATANG,18.436024647289223,98.19437077221679,63.264113426989866
MATANG,18.241544589686455,93.23012598419297,61.26602201819508
MATANG,31.94550187596171,73.82663278611538,66.29939527712276
MATANG,29.00993685178154,68.50251278326772,62.80539613766711
MATANG,28.50053300043964,78.56110489398694,63.0871671167143
MATANG,29.9302114453648,75.50793895880378,64.6954403639016
MATANG,30.455019852470972,66.3133304128115,62.524664931006576
MATANG,19.967972044173777,85.8965693443876,58.41026764303271
MATANG,31.215336080663857,67.33713089641493,63.423497731859875
MATANG,22.205859320357305,77.07891653843848,52.50171890299954
MATANG,28.096675882026737,65.85166319867709,58.23869505130793
MATANG,30.52322314452149,73.37262819488019,65.2419973434284
MATANG,30.97391186102396,66.52296647998641,63.411550497342176
MATANG,31.005971041246177,69.09421524350033,63.40660080608901
MATANG,29.968980592164424,77.38485317040028,64.82674706740472
MATANG,27.302522244259706,68.01366520078535,59.682217300563536
MATANG,14.858836379169082,102.23917106722487,59.57658563727743
MATANG,16.10383391868668,101.22349704492316,58.982155257688696
MATANG,17.002496078215863,92.87161668057193,56.717809208948665
MATANG,20.43637420440239,94.8617717846366,60.0855406379269
MATANG,21.16041517830379,88.99560703972742,57.7045705334126
MATANG,17.892110500639475,93.28233114471134,59.36497337807997
MATANG,17.071543990178053,96.98882432030734,59.318756119981614
MATANG,15.260095627835176,85.35239806483683,51.69893390544753
MATANG,15.27106147958674,85.83209580643872,49.46994573824464
MATANG,17.586782744399592,99.1234117710977,59.89166071321517
MATANG,17.744409584141003,92.5272626446314,57.58416395430747
MATANG,21.395740336673928,90.3435667127955,59.523470597859756
MATANG,16.452232606762454,94.86223234447753,56.32212819862713
MATANG,16.600868537799006,78.46491564417178,50.43664242196399
MATANG,15.170789796117184,96.68514333871225,56.63193509447253
MATANG,17.383231063028315,97.68046904663176,58.73875812458784
MATANG,17.544565799794167,92.69435453553086,54.928843348454265
MATANG,21.38942286075418,66.5307479117124,50.2801904001219
MATANG,17.851590758078377,79.35746890674646,50.54914797990648
MATANG,23.74197501798525,66.53521300033972,54.098344669870706
MATANG,23.807721106192922,67.78815230885674,53.36684840305949
